firstName,lastName,contactInfo,foodPreference,noiseIntensity,conversationLevel,topicStudying,studySchedule,locationState,locationCity
Bob,Jerome,bob.jerome@gmail.com,American,Silent,Idle,Physics,Early Morning,Florida,Miami
Kyle,Carter,kmoney@gmail.com,American,Silent,Idle,Physics,Early Morning,Florida,Miami
David,Jerome,kool.kid@gmail.com,Chinese,Super Loud,Personal,Physical Education,Never,Florida,Miami
Kyle,Brown,kbrown@gmail.com,American,Loud,Idle,Physics,Early Morning,Florida,Jacksonvile
Bob,Builder,whatcanthefix@hotmail.com,American,Construction,No human communication,Construction,High noon,Florida,Jacksonvile
Trevor,Lawrence,tlaw@gmail.com,American,Loud,Idle,Playbook,All day,Florida,Jacksonvile
Jack,Warner,jw@gmail.com,American,Super Loud,Idle,Drag Racing,Night,Texas,Houston
Daniel,Jerome,docterdoom@gmail.com,Mexican,Quiet,Idle,Math,Afternoon,Florida,Orlando
Greg,William,gregory1@gmail.com,Mexican,Loud,Idle,Rockets,Morning,California,Los Angles
Stewart,Little,thelittlemouse@gmail.com,Chinese,Whispers,Little,Cat Anatomy,Night time,New York,New York City
Gary,Larson,garson@gmail.com,Chinese,Whispers,Little,Math,All day,Oklahoma,Oklahoma City
Simon,Cowell,simonc@gmail.com,Japanese,Super Loud,Idle,Music,Noon,Oklahoma,Oklahoma City
Justin,Jefferson,jjgriddy@gmail.com,American,Super Loud,Idle,Route Running,All day,Minnesota,Minneapolis
Connor,Washington,cw@gmail.com,Japanese,Whispers,Little,Anime,Night time,New Jersey,Atlantic City
Michael,Quickly,mq@gmail.com,Mexican,Loud,Little,Kung Foo,Night time,Georgia,Atlanta
Evan,Engram,ez@gmail.com,American,Super Loud,Idle,Agility,All day,Florida,Jacksonville
Emily,Han,emilyhan@gmail.com,Korean,Medium Low,Little,Psychology,Night,Florida,Ponte Vedra
